2023-05-23-15-48: using tensorboard
2023-05-23-15-48: Get lr 3e-06 from base lr 3e-06 with none
2023-05-23-15-48: {'overall': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}, 'transformer': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}}
2023-05-23-15-48: Distributed, begin DDP the model...
2023-05-23-15-48: Distributed, DDP model done!
2023-05-23-15-48: Libritts: global rank 0: prepare solver done!
2023-05-23-15-48: Libritts: global rank 0: start training...
2023-05-23-15-49: Libritts: train: Epoch 0/500 iter 0/11015 || | dur_loss: 6.2109 | loss: 14.5343 | vqdiff loss: 8.3233 || lr_lr: 3.197e-06 || data_time: 20.8s | fbward_time: 14.4s | iter_time: 35.2s | iter_avg_time: 35.2s | epoch_time: 35s | spend_time: 35s | left_time: 2243d:06h:50m:45s
2023-05-23-15-50: Libritts: train: Epoch 0/500 iter 100/11015 || | dur_loss: 0.4510 | loss: 6.8881 | vqdiff loss: 6.4372 || lr_lr: 2.2897e-05 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 1.1s | epoch_time: 01m:55s | spend_time: 01m:55s | left_time: 73d:00h:22m:53s
2023-05-23-15-52: Libritts: train: Epoch 0/500 iter 200/11015 || | dur_loss: 0.2467 | loss: 30.7205 | vqdiff loss: 30.4737 || lr_lr: 4.2597e-05 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 1.0s | epoch_time: 03m:13s | spend_time: 03m:13s | left_time: 61d:11h:58m:02s
2023-05-23-15-53: Libritts: train: Epoch 0/500 iter 300/11015 || | dur_loss: 0.2132 | loss: 11.2470 | vqdiff loss: 11.0338 || lr_lr: 6.2297e-05 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.9s | epoch_time: 04m:32s | spend_time: 04m:32s | left_time: 57d:18h:36m:11s
2023-05-23-15-54: Libritts: train: Epoch 0/500 iter 400/11015 || | dur_loss: 0.1655 | loss: 7.9411 | vqdiff loss: 7.7755 || lr_lr: 8.1997e-05 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.9s | epoch_time: 05m:52s | spend_time: 05m:52s | left_time: 55d:23h:46m:34s
2023-05-23-15-56: Libritts: train: Epoch 0/500 iter 500/11015 || | dur_loss: 0.1683 | loss: 9.2649 | vqdiff loss: 9.0966 || lr_lr: 0.000101697 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.9s | epoch_time: 07m:10s | spend_time: 07m:10s | left_time: 54d:19h:31m:12s
2023-05-23-15-57: Libritts: train: Epoch 0/500 iter 600/11015 || | dur_loss: 0.1405 | loss: 71.3441 | vqdiff loss: 71.2036 || lr_lr: 0.000121397 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 08m:29s | spend_time: 08m:29s | left_time: 54d:00h:24m:57s
2023-05-23-15-58: Libritts: train: Epoch 0/500 iter 700/11015 || | dur_loss: 0.1627 | loss: 114.7913 | vqdiff loss: 114.6286 || lr_lr: 0.000141097 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 09m:47s | spend_time: 09m:47s | left_time: 53d:09h:06m:13s
2023-05-23-16-00: Libritts: train: Epoch 0/500 iter 800/11015 || | dur_loss: 0.1338 | loss: 37.8286 | vqdiff loss: 37.6948 || lr_lr: 0.000160797 || data_time: 0.0s | fbward_time: 0.5s | iter_time: 0.5s | iter_avg_time: 0.8s | epoch_time: 11m:06s | spend_time: 11m:06s | left_time: 53d:01h:18m:29s
2023-05-23-16-01: Libritts: train: Epoch 0/500 iter 900/11015 || | dur_loss: 0.1514 | loss: 105.5484 | vqdiff loss: 105.3971 || lr_lr: 0.000180497 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 12m:25s | spend_time: 12m:25s | left_time: 52d:17h:52m:37s
2023-05-23-16-02: Libritts: train: Epoch 0/500 iter 1000/11015 || | dur_loss: 0.1324 | loss: 1.8943 | vqdiff loss: 1.7620 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 13m:43s | spend_time: 13m:43s | left_time: 52d:10h:23m:07s
2023-05-23-16-04: Libritts: train: Epoch 0/500 iter 1100/11015 || | dur_loss: 0.1240 | loss: 37.2104 | vqdiff loss: 37.0864 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 15m:01s | spend_time: 15m:01s | left_time: 52d:04h:15m:26s
2023-05-23-16-05: Libritts: train: Epoch 0/500 iter 1200/11015 || | dur_loss: 0.1227 | loss: 30.4482 | vqdiff loss: 30.3256 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 16m:20s | spend_time: 16m:20s | left_time: 52d:00h:58m:13s
2023-05-23-16-06: Libritts: train: Epoch 0/500 iter 1300/11015 || | dur_loss: 0.1289 | loss: 25.2117 | vqdiff loss: 25.0829 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 17m:37s | spend_time: 17m:37s | left_time: 51d:18h:51m:11s
2023-05-23-16-07: Libritts: train: Epoch 0/500 iter 1400/11015 || | dur_loss: 0.1147 | loss: 26.7953 | vqdiff loss: 26.6806 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 18m:55s | spend_time: 18m:55s | left_time: 51d:15h:25m:26s
2023-05-23-16-09: Libritts: train: Epoch 0/500 iter 1500/11015 || | dur_loss: 0.1302 | loss: 18.3134 | vqdiff loss: 18.1832 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 20m:13s | spend_time: 20m:13s | left_time: 51d:12h:57m:10s
2023-05-23-16-10: Libritts: train: Epoch 0/500 iter 1600/11015 || | dur_loss: 0.1329 | loss: 4.2828 | vqdiff loss: 4.1499 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 21m:31s | spend_time: 21m:31s | left_time: 51d:10h:09m:59s
